,Gene-Identifier,X211WA,X076ER,X164MY,X331HA,X011DA,X349LE,X288BE,X296NY,X215HE,X092NO,X261EN,X223LI,X154AN,X111MA,X379BA,X035SI,X158KU,X121LE,X183AN,X031ER,X075DA,X136ER,X174HE,X018GU,X142SW,X086LI,X330IG,X172SA,X304VE,X259AB,X376FR,X166JO,X085RY,X040TH,X185NY,X045OL,X372LU,X309EV,X307EG,X087BU,X138BR,X327EN,X319AN,X112FR,X204FA,X188AH,X216AN,X178WA,X281BR,X029AN,X240SM,X225KA,X192LA,X231CA,X132VI,X119AN,X048SA,X318KI,X095NI,X019ER,X380MO,X246TA,X341UL,X243BE,X347JA,X196SA,X325OS,X345VI,X115LU,X157HA,X041LA,X242KR,X377DE,X210NI,X161JO,X374BR,X123ER,X170FA,X028JA,X298LA,X003WI,X036AR,X229LA,X101GL,X049SA,X285FL,X187OL,X202NI,X171SO,X069EK,X373LI,X283AN,X276EK,X258VE,X005JO,X122FO,X282WI,X350JO,X310WI,X297PE,X352AN,X160LU,X027JO,X214WI,X137TH,X284JE,X268AR,X057FR,X191SA,X176TH,X146HO,X360RI,X054BO,X084GE,X213BI,X059HO,X128SA,X024BJ,X264LA,X150JO,X074KA,X072TE,X056EN,X089HO,X262SP,X014ER,X249LU,X126AS,X371AS,X055SV,X081UL,X079JA,X365MA,X275WE,X015HE,X165AN,X221LU,X333SI,X218BE,X260LI,X382GU,X361NO,X113SO,X199PO,X351OL,X356AL,X206RI,X219WO,X117KO,X184LO,X125WA,X063PE,X052ZA,X010BJ,X244SO,X071AV,X342BL,X336MO,X026NA
0,219097_x_at,7.822177,7.687284,8.039288,7.8985,7.869872,7.555892,7.637794,7.811304,7.748979,7.707675,7.95348,7.936634,7.57694,7.542245,8.053534,7.825154,7.64816,7.613672,7.749004,7.568631,8.33073,7.89537,7.819608,7.552123,7.927217,7.730191,7.679304,7.786224,8.232457,8.026951,7.49904,7.362493,7.715734,6.973219,7.765265,7.807418,7.635001,7.691294,7.669048,7.960702,8.273628,7.951285,7.885057,7.833474,7.980365,7.68762,7.464257,7.872573,8.099606,7.567253,7.927338,7.610316,7.735631,7.748272,7.634825,7.744067,7.640177,7.958659,7.86293,8.695978,7.763785,7.595688,8.030991,7.880947,7.834186,7.7909,7.860328,7.818951,7.599588,7.745913,7.898443,7.640629,8.037179,7.769604,7.786596,7.555617,7.81829,7.659106,7.872328,7.791142,7.534698,7.52407,8.097984,7.922845,7.905057,8.043107,7.507359,7.800945,8.166453,7.776436,7.446644,7.828946,8.471146,7.954649,8.016532,8.260394,7.905916,7.668064,8.036615,7.791208,7.600773,7.962636,7.820706,7.682934,7.639015,7.852832,7.814173,8.249285,7.565488,7.611123,7.86942,7.41833,7.272898,7.663128,7.801551,7.808791,7.853865,7.936261,7.72313,7.781507,7.8265,8.191102,7.740744,8.416164,7.779794,8.184205,7.649917,7.574842,7.597667,7.838851,8.224066,8.437022,7.709357,7.675527,8.060403,8.034636,7.854476,7.644185,7.584464,7.806093,7.542958,7.772573,8.262027,7.451298,7.573107,7.691366,7.621199,7.724921,7.343662,7.98671,7.752654,7.749288,7.987051,8.302294,7.816722,7.928655,7.669378,7.883066,7.810159
1,218883_s_at,6.420426,6.935824,6.214857,7.856578,7.447776,7.401657,7.251684,7.520047,7.043208,7.070327,6.214109,7.635685,7.493295,7.479368,6.711909,6.592843,6.635324,6.593728,8.532172,7.612779,7.086142,6.605513,6.584923,6.649969,7.571757,6.217448,6.681316,6.219573,7.097571,6.361262,7.208918,6.938293,6.745816,7.851185,8.313617,8.569241,7.575276,6.470041,7.108144,6.918807,7.73286,7.447487,6.988707,7.198964,6.85155,7.303409,7.990017,6.576755,6.976365,8.331127,6.549718,6.413532,7.102835,6.861005,6.807559,7.634955,7.156732,6.70077,7.779032,7.013937,7.245507,7.792368,8.628869,6.794014,8.233215,6.964291,7.591233,6.693673,7.068329,7.108175,7.183408,6.992974,7.611329,7.651485,8.253519,6.838292,6.418655,7.17742,7.056013,6.95033,7.835514,7.974925,6.306065,7.024583,6.476054,7.116091,7.55067,6.414284,7.339753,7.288157,7.641298,6.77835,7.386729,7.961392,7.284604,6.74437,7.314861,7.942714,7.430132,7.146913,6.443042,7.155487,7.278875,8.245846,6.484448,6.00933,7.678038,7.389314,7.330928,5.767228,6.934395,7.848559,6.842833,8.209877,6.571215,7.143657,7.602399,7.978997,6.946906,7.478585,6.3026,7.807837,7.167874,7.413685,6.922419,7.82707,6.766357,6.822518,8.772153,7.12382,7.009008,6.126605,7.690275,7.477957,7.559014,6.537425,8.092534,6.37668,7.196341,6.594542,8.180805,6.435514,8.269481,6.756826,7.952387,7.927185,7.454094,6.616717,7.763462,7.115581,7.114517,7.296553,7.875749,6.973822,7.249678,8.132056,7.386043,7.299843,6.398404
2,236623_at,5.300527,6.57275,4.393148,5.005639,6.218209,4.427368,4.515451,4.606987,5.600462,5.295262,4.496579,6.365502,4.083922,4.39251,4.643767,5.18086,5.698039,5.16978,4.806684,5.374065,4.822391,4.855289,4.776988,5.442177,4.954012,5.838524,4.652129,4.199205,5.191095,6.057691,4.001039,3.953134,4.335653,5.3979,4.062278,4.075359,6.049351,5.178584,5.096811,5.945241,4.345962,4.253221,4.709824,4.270597,4.370762,4.28929,4.460224,5.155145,4.351408,4.625229,5.126658,6.90433,4.266535,5.433251,5.215817,4.500686,4.646538,4.915701,4.211563,5.200358,5.02806,5.048535,6.625779,4.21158,4.852353,6.356583,5.878814,4.877919,6.040826,6.519439,4.697016,4.268493,4.712137,6.191816,4.508202,3.846425,5.297453,4.125299,6.24371,6.302601,6.09396,4.990189,5.816463,4.993487,7.101937,5.981103,4.519501,6.233332,4.01192,5.128333,4.807279,5.736766,5.420161,4.312514,4.9108,3.992386,6.045025,4.18545,6.382758,3.973854,6.06252,6.511199,4.781702,4.226548,4.380838,6.477492,5.645748,4.882622,4.450561,6.594486,4.367568,4.199898,4.277928,4.858194,5.179882,5.807386,7.418912,5.059235,5.178505,5.273396,6.293107,5.209046,6.367776,6.369159,5.290094,6.017756,4.367219,3.922179,5.770229,4.17793,4.644592,6.342508,5.676443,5.103165,6.258526,6.350076,4.193354,5.597031,5.869196,6.070743,5.097494,6.604734,4.814146,5.777799,5.34173,5.304793,5.66422,4.276343,5.380066,4.862075,4.464612,4.613973,4.224854,4.077635,6.297783,4.608932,4.315354,6.147342,4.29826
3,227609_at,7.434736,8.475129,7.609434,8.352944,7.87456,8.974308,8.600711,8.714686,8.176217,8.415447,7.10424,8.15355,9.215746,8.099999,7.410365,7.413291,7.626464,8.293327,7.569793,8.052704,8.776927,8.129702,8.011299,7.655118,8.386894,7.958823,8.925311,8.41972,8.889493,7.120658,9.181585,8.988725,7.86738,9.141702,8.043156,8.578052,8.223078,7.834312,7.420422,8.299325,8.252291,8.751523,7.871762,7.379489,8.223468,9.088951,9.290659,7.5072,8.030144,8.288294,7.772262,7.216246,8.794678,7.855242,6.872612,8.437417,9.241987,8.214221,8.123544,7.253568,8.907785,7.680295,8.076181,8.315952,8.715795,8.053392,8.813152,8.14397,8.8669,7.527415,8.474415,8.844115,8.066329,7.344838,8.391266,8.492219,8.475507,7.528503,7.16014,7.618681,8.498099,8.353857,7.992734,7.673835,9.114918,8.415395,10.061909,8.071136,8.693643,8.942575,8.543451,8.394093,7.30907,8.446901,8.107097,8.20422,8.081494,9.110481,7.578345,8.925414,9.253508,7.595663,8.765088,8.213125,7.532953,7.29194,8.053654,7.521805,7.976099,8.168656,8.692183,8.742485,8.58309,9.497365,8.296415,7.480871,6.947824,7.058286,8.289796,8.945846,7.250793,7.653044,7.834545,9.20035,8.274722,7.454653,7.830047,8.388795,9.050669,7.72807,8.034901,8.345516,8.509488,8.57559,8.669608,7.863654,7.989819,7.342969,7.547063,7.708939,8.739474,7.481141,8.995645,7.584199,8.976144,8.531121,7.569581,7.649531,8.771838,7.731803,8.34264,8.873129,8.44821,8.55879,9.013164,8.316677,9.101791,8.723541,7.460471
4,221521_s_at,6.66811,5.816826,5.20346,7.33915,6.286962,6.827439,6.580303,8.388103,6.284251,5.779818,3.017963,7.103228,5.731874,6.095063,7.060603,4.294273,5.81636,5.076764,5.369656,6.793295,6.874279,4.942065,5.276044,4.746922,7.221202,4.118512,6.785704,5.171819,6.759781,6.110809,6.15492,5.996276,4.87873,7.366982,7.942122,6.814226,7.199015,3.325606,5.694017,5.939845,6.988215,6.396339,5.508059,4.976546,5.79666,5.973996,7.372176,6.014481,3.835063,7.04339,5.170552,5.596224,6.644421,5.949591,5.599312,6.852309,7.099363,6.140871,6.813208,6.306275,7.170254,7.307231,7.188651,6.37732,6.152083,4.384419,6.453063,5.916901,5.169565,6.043051,6.70584,5.456684,6.517655,6.874219,6.176902,5.217805,4.336727,6.459322,5.895837,5.77075,7.125543,7.773332,2.619784,6.704542,7.79433,7.37371,6.516172,5.374954,6.871383,7.516425,7.555321,6.548434,7.503056,8.022675,6.354755,5.073901,6.778563,8.66381,5.590409,5.099665,6.407127,7.103893,6.465088,8.090964,5.252202,3.852174,6.894418,5.920714,6.17794,4.486342,5.081479,7.573341,6.778698,7.003936,5.28397,5.625103,7.648244,6.052907,6.28882,7.348296,3.100974,7.680794,6.004221,7.365463,5.592682,7.070121,7.188031,4.893007,7.663993,6.543062,6.311226,6.019377,7.847095,6.760097,7.402918,5.729086,5.88962,5.188755,5.552475,6.035678,6.334039,5.005713,7.72768,4.62694,6.571737,7.473454,6.534622,3.735634,6.454734,6.06219,6.204626,5.224326,7.340663,6.532447,6.458143,6.398205,6.897584,7.66176,5.173594
5,203365_s_at,4.527205,4.927289,3.867487,4.755028,4.08359,5.817411,3.903118,4.60112,4.443267,4.203613,3.712453,4.685305,6.915074,3.381797,4.544917,4.94884,4.125854,4.868839,5.463739,5.274091,6.112042,3.401983,4.124788,3.60334,4.05746,4.423961,3.701412,4.466198,4.320779,3.502677,4.28227,3.9139,5.368857,4.257671,4.873789,5.087526,5.602899,3.41364,4.06061,4.912382,4.270228,6.164936,5.103576,4.428367,4.578415,4.625913,4.591158,3.326416,3.455574,3.9948,4.95569,3.88619,5.676352,4.215178,4.190524,3.885332,3.684766,4.547151,5.868513,5.758911,5.053749,6.480634,5.177108,4.318816,4.062885,4.312813,5.180938,6.248253,3.316938,3.969668,4.792384,4.384272,4.00786,5.186855,3.784248,5.577211,4.131504,5.289906,5.138856,4.848001,3.55412,4.337196,4.895228,4.30325,4.641701,4.574285,6.335005,3.454258,3.183591,3.46407,5.113963,4.350138,3.984184,3.631579,3.94186,5.745766,4.574276,5.156451,3.144266,4.063966,4.081804,5.426101,4.783269,4.811215,4.880469,5.29131,4.102066,5.646458,4.597473,5.206957,4.932267,5.492241,5.709224,3.970635,5.557068,5.142428,4.053302,5.717027,3.604879,6.556686,3.415467,4.997295,4.327499,4.477108,5.49953,5.899647,4.697409,5.431468,3.588305,4.670074,5.963657,4.404144,4.775622,4.445864,4.328373,3.55888,4.139961,4.644869,4.144999,4.529231,4.156454,4.197803,5.532443,4.04132,5.498563,4.535586,4.093013,4.235103,4.311757,3.049051,5.044817,3.622844,6.14279,5.971756,4.656459,3.706567,4.514657,5.252986,3.449552
6,208785_s_at,7.544874,7.295587,7.524168,7.857093,8.281933,7.487792,7.419404,8.109854,7.11887,7.461592,6.971014,7.420976,7.306512,7.383729,7.802313,7.235708,7.331821,7.607329,8.237272,7.171979,7.334689,7.203102,7.556593,7.423128,7.796593,7.485278,7.813291,7.482348,7.339022,7.407463,7.780344,7.986858,7.299702,8.132943,8.537914,8.247492,8.07646,7.406811,7.56294,7.496815,7.146556,8.083815,6.819458,7.088855,7.361303,7.560107,7.927233,7.801727,7.239975,7.970103,7.587233,7.389874,8.279685,7.499194,7.243401,7.8576,7.986336,7.590652,8.098688,7.599686,8.282313,8.213361,7.44615,7.722938,6.816131,7.418925,7.684653,7.812181,7.407056,7.35986,7.902908,7.684173,7.593849,7.761953,7.786903,7.462235,7.422659,7.284763,7.44668,7.524963,7.736773,7.638291,7.523358,7.498942,8.483474,8.233763,8.169587,7.16937,7.602993,7.850544,7.958374,7.48769,7.989209,8.686878,7.384309,7.417927,7.4419,8.030288,7.565075,7.866036,7.637318,7.965445,8.064445,7.182337,7.387951,7.641074,7.511422,7.63399,7.680569,7.695712,7.436517,8.272864,8.22893,7.701888,8.006328,7.217221,8.697198,7.388653,7.189396,7.942981,7.499886,7.749267,7.553077,7.68633,7.742636,7.919475,8.132417,7.481516,8.491256,7.728129,7.489485,7.62213,7.831676,7.488911,7.749246,7.617698,7.748881,7.535198,7.269608,7.40634,7.640115,6.968883,7.789055,7.571043,7.931868,8.345745,7.40882,7.357655,8.02975,7.671599,7.568719,7.566592,8.043584,7.39276,7.616673,7.742306,7.658323,8.524925,7.293647
7,211577_s_at,7.647671,7.251942,6.86208,6.154332,5.942829,6.10204,6.908298,6.197476,7.762313,8.099178,7.59878,6.588787,7.196662,7.328632,7.151833,7.510009,8.25181,7.317078,6.59174,6.786113,6.372285,8.075096,7.577852,7.587929,6.912972,8.069731,7.600975,7.356151,6.985369,8.461224,5.990635,7.846586,7.720728,6.858472,5.866518,6.640827,7.063681,7.779121,8.688366,7.034733,7.419595,5.742525,7.372824,7.597441,7.051445,7.819081,6.709528,7.588678,7.949461,5.092356,7.890589,8.112336,5.123167,8.358483,7.585961,6.508115,5.563754,7.178801,6.260901,3.874526,6.582166,7.148791,5.955568,7.966576,6.68679,7.043787,7.001692,6.992373,7.184231,7.425402,6.769252,7.122551,7.02434,7.707282,7.272347,7.461601,6.992859,5.938323,4.407867,7.213363,6.943665,5.937221,7.090017,4.328832,7.025266,7.021838,6.499352,7.967867,6.637514,5.931927,6.628599,7.133903,6.235089,6.340795,7.583375,7.383414,6.340137,6.059138,7.511835,7.434239,7.669519,7.080412,6.845323,7.41614,7.775712,7.753849,7.133233,6.776249,7.528844,9.153718,7.566852,6.90301,6.247766,6.982946,6.881256,6.846061,5.828464,7.347492,6.589766,6.313549,7.878543,6.766827,7.164615,5.876719,7.897677,6.850122,5.778029,7.848614,5.347759,6.073058,6.745711,7.00131,6.862344,6.363402,5.900968,7.903326,7.089017,7.535495,7.467383,7.539638,6.828387,6.768457,6.611148,7.082345,6.470195,6.879319,7.334987,7.990266,7.168333,7.542025,7.347219,7.125193,6.202544,7.098959,7.183658,6.414202,6.315133,6.106156,6.81089
8,200812_at,8.133274,7.850622,8.191666,8.813455,8.297988,8.558595,7.827885,8.57033,8.024709,7.962673,7.724169,6.829736,8.840631,8.152334,8.359543,7.86967,7.743698,7.811059,8.487554,7.728984,8.146694,8.106332,8.198612,7.532154,8.516551,7.934746,8.25946,7.991795,8.0286,8.065104,8.417416,7.829553,7.992849,7.753845,8.48636,8.369761,8.071264,7.748627,8.123072,8.291494,8.233812,8.508019,8.157402,7.92843,8.253633,8.202754,8.182768,8.072618,7.918181,8.559792,7.806089,8.125073,8.32116,7.862334,7.835344,8.194283,8.424344,8.194995,8.449355,8.92046,8.487829,8.053719,8.070957,8.201276,8.050358,7.903377,8.2689,7.803404,7.918171,8.009475,7.676748,8.317934,8.213244,8.037084,7.908868,8.285718,8.069017,8.228829,8.01495,7.860979,7.957193,8.524802,8.118586,8.312396,9.047922,8.22968,8.419611,7.930678,8.327558,8.340487,8.040039,7.755857,8.567932,9.78469,8.047437,8.117515,7.948077,8.276166,8.317318,8.133504,8.26655,7.673762,8.046854,8.366503,7.582611,8.051297,8.219472,8.411504,8.595221,7.858648,8.129051,8.517781,8.029873,8.491531,8.054757,7.996141,9.138227,7.848748,8.399517,8.753313,7.836791,8.529631,8.230764,8.532394,8.150641,8.016858,8.348337,8.206545,8.40841,8.718634,8.131913,8.077367,8.492362,8.245922,8.098476,8.152027,8.071994,8.460976,7.817205,8.167504,8.376991,7.814814,8.598014,7.932859,9.04262,9.14358,8.486317,7.687249,8.557418,7.955735,8.301403,8.019618,8.678787,8.264562,8.507343,8.360808,8.63518,8.826225,7.74838
9,212041_at,8.31135,8.074179,8.256653,8.382711,8.812949,8.899026,8.484143,8.610009,7.861704,8.268344,7.807044,7.77362,9.359922,7.884942,8.851273,8.168141,8.289586,8.494271,8.121015,7.972026,8.40379,8.49091,8.643715,7.780736,8.772725,8.037502,8.679253,8.534144,8.873327,8.136025,8.179355,8.139474,8.358101,9.026373,8.961396,8.159182,8.31165,8.349621,8.300714,8.627693,8.612785,8.747271,8.058293,8.009546,8.650777,8.440565,8.906698,8.809098,8.279233,8.39656,8.096196,8.225326,8.408617,8.684507,8.266074,8.882485,8.809418,8.123224,9.210807,9.128466,8.860176,8.909169,8.594494,8.647378,8.039621,8.548256,8.572982,7.722333,8.228458,8.292857,9.057883,8.520086,8.207945,8.392055,8.325392,8.524128,8.031955,7.726037,8.303368,7.992852,7.634112,8.691349,8.218166,8.114275,9.598025,8.762905,8.431179,8.369137,8.627406,7.841578,8.451097,8.65983,9.048906,8.693602,8.477027,8.588176,8.655826,9.148063,8.277512,8.370351,8.689198,8.427314,8.80937,8.500042,8.336733,8.466941,8.29931,7.704541,8.555058,8.754186,8.458627,8.762706,8.633542,8.363406,8.644235,7.201288,8.063027,8.299201,8.173734,8.9842,8.194279,8.65822,8.652052,8.65494,8.346025,8.561796,8.842267,8.422319,7.734592,8.130778,7.921492,8.572966,8.941617,8.180201,8.672554,8.088001,8.827332,8.078462,8.218307,8.376971,8.374485,8.187178,8.680528,8.243599,8.711393,8.27659,8.344248,8.03773,9.089423,8.496557,8.300137,8.001775,9.383299,8.882953,8.394695,7.711352,8.44694,8.611148,8.011139
